"term","estimate","std.error","statistic","p.value","conf.low","conf.high","sig"
"org_membership",0.0791700944207158,0.0226892904337058,3.48931557168071,0.000484259091826362,0.0346990851706524,0.123641103670779,"***"
"education_years",0.0108717651170177,0.00158793833098002,6.84646557420655,7.56968508830269e-12,0.00775940598829685,0.0139841242457385,"***"
"social_groupForward_castes",0.225064002124211,0.0312499038873709,7.20207021869166,5.93051354940093e-13,0.163814190504964,0.286313813743458,"***"
"social_groupOBCs",0.368843711091789,0.0299186670900336,12.3282133519463,6.38466831106433e-35,0.310203123595323,0.427484298588254,"***"
"social_groupDalits",0.253094822204694,0.0312025609483665,8.11134773916512,5.00613631341314e-16,0.191937802745896,0.314251841663493,"***"
"social_groupAdivasis",0.578283911818756,0.0373527474723725,15.4816968215384,4.61147344510531e-54,0.505072526772906,0.651495296864606,"***"
"social_groupMuslims",-0.0805694470685815,0.0330379245637744,-2.43869577560949,0.0147403718316272,-0.145323779213579,-0.0158151149235837,"*"
"social_groupOther_Religions",0.289777546386521,0.0477467931146805,6.06904731152352,1.28671239861016e-09,0.196193831881748,0.383361260891295,"***"
"female",-1.92878379855687,0.0137816351098149,-139.953190110456,0,-1.95579580337211,-1.90177179374163,"***"
"age",0.345682960244231,0.00171669546781121,201.365336325479,0,0.342318237127321,0.349047683361141,"***"
"age_sq",-0.00393734416856313,2.15138112824627e-05,-183.014720956147,0,-0.00397951123867675,-0.0038951770984495,"***"
"wealth_index",-0.104013902903285,0.00130049932600953,-79.979974478297,0,-0.106562881582263,-0.101464924224306,"***"
