"region","social_group","urban_rural","n","employment_rate"
"Central","Brahmins","Rural",764,52
"Central","Brahmins","Urban",405,35.1
"Central","Forward_castes","Rural",1244,56.3
"Central","Forward_castes","Urban",673,36
"Central","OBCs","Rural",8065,59.6
"Central","OBCs","Urban",1711,41.8
"Central","Dalits","Rural",2616,56.7
"Central","Dalits","Urban",745,41.2
"Central","Adivasis","Rural",3957,64.6
"Central","Adivasis","Urban",210,44.3
"Central","Muslims","Rural",246,50.4
"Central","Muslims","Urban",756,36.8
"Central","Other_Religions","Urban",90,42.2
"East","Brahmins","Rural",401,33.9
"East","Brahmins","Urban",755,27.2
"East","Forward_castes","Rural",1402,41
"East","Forward_castes","Urban",2431,33.4
"East","OBCs","Rural",3871,41.4
"East","OBCs","Urban",2376,30.9
"East","Dalits","Rural",3884,43.4
"East","Dalits","Urban",1862,34.5
"East","Adivasis","Rural",1154,52.9
"East","Adivasis","Urban",241,32
"East","Muslims","Rural",3458,38.2
"East","Muslims","Urban",1568,30.3
"East","Other_Religions","Urban",97,28.9
"South","Brahmins","Rural",285,48.4
"South","Brahmins","Urban",398,30.9
"South","Forward_castes","Rural",2961,50.2
"South","Forward_castes","Urban",1585,38.4
"South","OBCs","Rural",10659,53.1
"South","OBCs","Urban",7517,37.8
"South","Dalits","Rural",5619,53.4
"South","Dalits","Urban",2845,41
"South","Adivasis","Rural",2054,55.7
"South","Adivasis","Urban",387,39.8
"South","Muslims","Rural",2149,38.6
"South","Muslims","Urban",3223,28.5
"South","Other_Religions","Rural",977,43.3
"South","Other_Religions","Urban",1018,37.6
"West","Brahmins","Rural",118,40.7
"West","Brahmins","Urban",207,29
"West","Forward_castes","Rural",3957,47.3
"West","Forward_castes","Urban",1875,30.9
"West","OBCs","Rural",3750,50.9
"West","OBCs","Urban",1474,30.8
"West","Dalits","Rural",1451,50.8
"West","Dalits","Urban",1003,32.9
"West","Adivasis","Rural",1342,53.8
"West","Adivasis","Urban",143,36.4
"West","Muslims","Rural",434,41.5
"West","Muslims","Urban",632,30.7
"West","Other_Religions","Rural",165,21.8
"West","Other_Religions","Urban",185,30.8
