"Model","Variable","Estimate","StdError","P_Value","Conf_Low","Conf_High","Sig"
"M1: State FE (svyglm)","social_groupMuslims",0.157781147602209,0.0828737713754551,0.0570454088400124,-0.00465144429368339,0.320213739498101,"."
"M2: District FE (LPM, clustered)","social_groupMuslims",-0.0279890134515282,0.0100386110529227,0.00530171838709755,-0.0476646911152568,-0.00831333578779963,"**"
"M3: State FE (glm, clustered)","social_groupMuslims",0.0334828404042968,0.0673152454109674,0.618904519773977,-0.0984550406011994,0.165420721409793,""
"M4: Exogenous Only","social_groupMuslims",0.287525185033653,0.0829222956849202,0.000534687900577676,0.124997485491209,0.450052884576096,"***"
"M1: State FE (svyglm)","social_groupDalits",0.440870400841891,0.0752889750455779,5.39559360725975e-09,0.293304009752559,0.588436791931224,"***"
"M2: District FE (LPM, clustered)","social_groupDalits",0.0190458601251853,0.00919886706247556,0.0384108102509543,0.00101608068273324,0.0370756395676374,"*"
"M3: State FE (glm, clustered)","social_groupDalits",0.295243196069948,0.0571967966244121,2.44477535649269e-07,0.1831374746861,0.407348917453796,"***"
"M4: Exogenous Only","social_groupDalits",0.664320290655217,0.0736530537714385,3.74811012790367e-19,0.519960305263198,0.808680276047237,"***"
"M1: State FE (svyglm)","social_groupAdivasis",0.618405254494842,0.108557722567523,1.37093788563678e-08,0.405632118262497,0.831178390727186,"***"
"M2: District FE (LPM, clustered)","social_groupAdivasis",0.0656728455139265,0.0109537915605008,2.03269525529226e-09,0.0442034140553448,0.0871422769725081,"***"
"M3: State FE (glm, clustered)","social_groupAdivasis",0.577482150466857,0.0705212792637363,2.63921309758981e-16,0.439260443109934,0.71570385782378,"***"
"M4: Exogenous Only","social_groupAdivasis",0.955400891734939,0.106831994179604,7.35054468918267e-19,0.746010183142915,1.16479160032696,"***"
"M1: State FE (svyglm)","org_membership",0.00661953258130378,0.0451436463483527,0.883434213526694,-0.0818620142614675,0.0951010794240751,""
"M2: District FE (LPM, clustered)","org_membership",0.00379499217751059,0.00554065484699125,0.493385290428752,-0.00706469132259226,0.0146546756776134,""
"M3: State FE (glm, clustered)","org_membership",0.0355748601276903,0.0322072043601,0.269349342821624,-0.0275512604181057,0.0987009806734864,""
"M1: State FE (svyglm)","education_years",0.0156209829135842,0.0028809637623336,6.4739039234744e-08,0.00997429393941037,0.0212676718877581,"***"
"M2: District FE (LPM, clustered)","education_years",-0.00419508840208527,0.000331032661864343,8.64691804361438e-37,-0.00484391241933938,-0.00354626438483116,"***"
"M3: State FE (glm, clustered)","education_years",0.0149405938434505,0.00219325716848047,9.62126639874748e-12,0.0106418097932288,0.0192393778936722,"***"
"M4: Exogenous Only","education_years",-0.0175418472801005,0.00282395318487926,6.14771213824112e-10,-0.0230767955224639,-0.0120068990377372,"***"
