"district_id","state_id","muslim_share","employment_rate","n_sample"
5,"(01) Jammu & Kashmir 01",98.1578947368421,48.1578947368421,760
3,"(01) Jammu & Kashmir 01",96.474358974359,33.2802547770701,628
2,"(01) Jammu & Kashmir 01",95.9372114496768,41.735918744229,1083
2,"(18) Assam 18",80.8795411089866,31.2619502868069,1046
32,"(23) Madhya Pradesh 23",75.6345177664975,38.5786802030457,197
5,"(32) Kerala 32",73.7899543378995,25.662100456621,1095
29,"(23) Madhya Pradesh 23",72.8,38.8,250
4,"(09) Uttar Pradesh 09",72.133425990271,34.5378735232801,1439
3,"(09) Uttar Pradesh 09",70.0410396716826,35.4309165526676,731
62,"(09) Uttar Pradesh 09",63.8888888888889,36.7283950617284,324
3,"(06) Haryana 06",61.2745098039216,32.3529411764706,204
6,"(19) West Bengal 19",55.8708414872798,45.8904109589041,1022
20,"(09) Uttar Pradesh 09",52.7638190954774,35.678391959799,199
7,"(19) West Bengal 19",52.4234693877551,40.5612244897959,784
17,"(10) Bihar 10",47.1223021582734,29.136690647482,278
3,"(08) Rajasthan 08",45.7943925233645,31.3364055299539,217
46,"(09) Uttar Pradesh 09",45.2586206896552,27.5862068965517,232
3,"(07) Delhi 07",44.4444444444444,34.8148148148148,135
34,"(09) Uttar Pradesh 09",43.4250764525994,42.2018348623853,654
14,"(08) Rajasthan 08",43.1334622823985,31.5280464216634,517
