"district_id","state_id","n_sample","sc_share","st_share","employment_rate"
0,"(15) Mizoram 15",347,0,97.6945244956772,53.8904899135447
20,"(24) Gujarat 24",389,3.08483290488432,96.9151670951157,61.9537275064267
5,"(22) Chhattisgarh 22",98,0,93.8775510204082,63.265306122449
0,"(17) Meghalaya 17",686,2.1865889212828,89.6501457725947,43.731778425656
0,"(12) Arunachal Pradesh 12",668,1.19940029985008,88.6056971514243,38.0239520958084
1,"(27) Maharashtra 27",376,1.59574468085106,79.7872340425532,45.4787234042553
0,"(13) Nagaland 13",508,0,79.5275590551181,36.6141732283465
17,"(20) Jharkhand 20",442,2.26244343891403,72.8506787330317,50
41,"(23) Madhya Pradesh 23",226,0,72.1238938053097,69.0265486725664
3,"(22) Chhattisgarh 22",154,14.2857142857143,72.0779220779221,66.8831168831169
0,"(26) Dadra+Nagar Haveli 26",314,3.5031847133758,63.6942675159236,45.859872611465
14,"(22) Chhattisgarh 22",197,0,62.4365482233503,71.0659898477157
15,"(22) Chhattisgarh 22",363,1.37741046831956,61.4325068870523,72.4517906336088
42,"(23) Madhya Pradesh 23",298,2.3489932885906,61.0738255033557,67.4496644295302
5,"(21) Orissa 21",787,15.3748411689962,60.9911054637865,44.5997458703939
