"Group","Estimate","StdError","P_Value","pct_penalty","sig"
"social_groupForward_castes",0.0703738212231732,0.0361392273758037,0.0515017645863636,7.3,"."
"social_groupOBCs",0.29464320775021,0.0339748305134091,4.29016058452481e-18,34.3,"***"
"social_groupDalits",0.510873905070259,0.0346111907560574,2.95724768922045e-49,66.7,"***"
"social_groupAdivasis",0.550044948771686,0.0378320830888461,7.62401796960937e-48,73.3,"***"
"social_groupMuslims",0.195854683395391,0.0374662799659823,1.72153091425409e-07,21.6,"***"
"social_groupOther_Religions",-0.00521841372396879,0.0545686310238665,0.923814394476242,-0.5,""
"social_groupForward_castes",-0.255410883033044,0.0389344981308474,5.40515387322904e-11,-22.5,"***"
"social_groupOBCs",-0.363722119729736,0.0367880329168677,4.85318940851501e-23,-30.5,"***"
"social_groupDalits",-0.289108623454587,0.0369508586054469,5.15883407961781e-15,-25.1,"***"
"social_groupAdivasis",-0.460788118372617,0.0389346472976442,2.70123263199546e-32,-36.9,"***"
"social_groupMuslims",-0.183094513786969,0.0401640349057704,5.15370628207804e-06,-16.7,"***"
"social_groupOther_Religions",-0.227998447509085,0.0627098164938624,0.000277284513509874,-20.4,"***"
