"district_id","state_id","n_nonmuslim","n_muslim","employment_rate_nonmuslim","employment_rate_muslim","within_gap"
0,"(11) Sikkim 11",475,28,36,21.4285714285714,-14.5714285714286
0,"(17) Meghalaya 17",666,20,44.1441441441441,30,-14.1441441441441
1,"(02) Himachal Pradesh 02",539,34,66.6048237476809,52.9411764705882,-13.6636472770926
1,"(06) Haryana 06",152,60,38.1578947368421,31.6666666666667,-6.49122807017545
1,"(07) Delhi 07",547,26,28.8848263254113,23.0769230769231,-5.80790324848826
1,"(09) Uttar Pradesh 09",358,176,41.6201117318436,36.3636363636364,-5.25647536820721
1,"(24) Gujarat 24",274,123,44.1605839416058,39.0243902439024,-5.1361936977034
1,"(28) Andhra Pradesh 28",467,44,52.6766595289079,38.6363636363636,-14.0402958925443
1,"(29) Karnataka 29",293,51,41.9795221843003,47.0588235294118,5.07930134511142
2,"(01) Jammu & Kashmir 01",44,1039,40.9090909090909,41.7709335899904,0.861842680899464
2,"(09) Uttar Pradesh 09",394,48,43.9086294416244,29.1666666666667,-14.7419627749577
2,"(10) Bihar 10",795,54,33.4591194968553,25.9259259259259,-7.53319357092942
2,"(18) Assam 18",200,846,36,30.1418439716312,-5.8581560283688
2,"(19) West Bengal 19",659,118,41.2746585735964,40.6779661016949,-0.596692471901434
2,"(20) Jharkhand 20",466,102,37.3390557939914,38.2352941176471,0.896238323655645
2,"(22) Chhattisgarh 22",738,62,46.8834688346883,41.9354838709677,-4.9479849637206
2,"(27) Maharashtra 27",278,79,34.8920863309352,31.6455696202532,-3.24651671068208
2,"(29) Karnataka 29",739,114,47.7672530446549,44.7368421052632,-3.03041093939178
2,"(32) Kerala 32",283,136,34.2756183745583,13.9705882352941,-20.3050301392642
2,"(33) Tamil Nadu 33",631,36,34.86529318542,33.3333333333333,-1.53195985208664
3,"(01) Jammu & Kashmir 01",22,602,18.1818181818182,33.8870431893688,15.7052250075506
3,"(06) Haryana 06",79,125,32.9113924050633,32,-0.911392405063289
3,"(07) Delhi 07",75,60,44,23.3333333333333,-20.6666666666667
3,"(08) Rajasthan 08",116,98,27.5862068965517,35.7142857142857,8.12807881773399
3,"(09) Uttar Pradesh 09",219,512,47.0319634703196,30.46875,-16.5632134703196
3,"(18) Assam 18",115,67,32.1739130434783,34.3283582089552,2.15444516547696
3,"(27) Maharashtra 27",569,159,52.3725834797891,42.7672955974843,-9.60528788230482
3,"(28) Andhra Pradesh 28",717,83,50.7670850767085,33.7349397590361,-17.0321453176724
3,"(29) Karnataka 29",339,168,48.377581120944,33.9285714285714,-14.4490096923725
4,"(09) Uttar Pradesh 09",401,1038,38.4039900249377,33.0443159922929,-5.35967403264478
4,"(24) Gujarat 24",187,114,49.7326203208556,46.4912280701754,-3.24139225068018
4,"(28) Andhra Pradesh 28",958,46,55.6367432150313,34.7826086956522,-20.8541345193791
