"district_id","state_id","n_non","n_adivasi","emp_rate_non","emp_rate_adivasi","within_gap"
0,"(11) Sikkim 11",432,71,34.2592592592593,40.8450704225352,6.58581116327596
0,"(12) Arunachal Pradesh 12",76,591,35.5263157894737,38.409475465313,2.88315967583934
0,"(13) Nagaland 13",104,404,51.9230769230769,32.6732673267327,-19.2498095963442
0,"(16) Tripura 16",636,283,41.1949685534591,44.1696113074205,2.97464275396137
0,"(17) Meghalaya 17",71,615,32.3943661971831,45.0406504065041,12.646284209321
0,"(25) Daman & Diu 25",172,100,40.6976744186046,42,1.30232558139535
0,"(26) Dadra+Nagar Haveli 26",114,200,41.2280701754386,48.5,7.2719298245614
1,"(02) Himachal Pradesh 02",473,100,64.0591966173362,74,9.94080338266384
1,"(19) West Bengal 19",452,134,48.0088495575221,52.2388059701493,4.22995641262712
1,"(21) Orissa 21",247,71,55.0607287449393,61.9718309859155,6.91110224097622
1,"(22) Chhattisgarh 22",143,168,55.9440559440559,63.6904761904762,7.74642024642024
1,"(23) Madhya Pradesh 23",135,32,54.0740740740741,40.625,-13.4490740740741
1,"(27) Maharashtra 27",76,300,40.7894736842105,46.6666666666667,5.87719298245614
1,"(28) Andhra Pradesh 28",490,21,51.0204081632653,61.9047619047619,10.8843537414966
1,"(30) Goa 30",562,45,26.1565836298932,28.8888888888889,2.73230525899565
2,"(01) Jammu & Kashmir 01",1043,40,41.8024928092042,40,-1.80249280920422
2,"(02) Himachal Pradesh 02",1028,128,49.3190661478599,55.46875,6.14968385214007
2,"(18) Assam 18",960,86,30.8333333333333,36.046511627907,5.21317829457364
2,"(19) West Bengal 19",655,122,41.5267175572519,39.344262295082,-2.18245526216994
2,"(20) Jharkhand 20",533,35,37.1482176360225,42.8571428571429,5.70892522112034
2,"(21) Orissa 21",281,76,35.2313167259786,42.1052631578947,6.87394643191609
2,"(22) Chhattisgarh 22",565,235,42.1238938053097,57.0212765957447,14.897382790435
2,"(27) Maharashtra 27",327,30,34.2507645259939,33.3333333333333,-0.917431192660551
2,"(28) Andhra Pradesh 28",616,86,45.1298701298701,61.6279069767442,16.4980368468741
2,"(29) Karnataka 29",812,41,47.6600985221675,41.4634146341463,-6.19668388802115
3,"(21) Orissa 21",195,47,44.6153846153846,63.8297872340426,19.2144026186579
3,"(22) Chhattisgarh 22",43,111,53.4883720930233,72.0720720720721,18.5836999790488
3,"(27) Maharashtra 27",666,62,49.6996996996997,56.4516129032258,6.75191320352612
4,"(22) Chhattisgarh 22",310,264,49.3548387096774,72.7272727272727,23.3724340175953
5,"(08) Rajasthan 08",830,26,49.1566265060241,46.1538461538462,-3.00278035217794
5,"(10) Bihar 10",785,38,40.7643312101911,36.8421052631579,-3.9222259470332
5,"(21) Orissa 21",307,480,36.1563517915309,50,13.8436482084691
5,"(29) Karnataka 29",982,201,54.4806517311609,57.7114427860697,3.23079105490875
5,"(33) Tamil Nadu 33",356,123,51.4044943820225,45.5284552845528,-5.87603909746963
6,"(02) Himachal Pradesh 02",612,32,63.0718954248366,40.625,-22.4468954248366
6,"(08) Rajasthan 08",970,101,45.1546391752577,54.4554455445545,9.30080636929672
6,"(18) Assam 18",1134,125,39.7707231040564,48.8,9.02927689594356
6,"(21) Orissa 21",248,275,35.4838709677419,44.3636363636364,8.87976539589443
6,"(27) Maharashtra 27",312,70,59.2948717948718,58.5714285714286,-0.723443223443219
6,"(28) Andhra Pradesh 28",366,25,29.5081967213115,32,2.49180327868853
6,"(29) Karnataka 29",270,60,47.037037037037,53.3333333333333,6.2962962962963
7,"(21) Orissa 21",226,224,49.1150442477876,51.7857142857143,2.67067003792668
7,"(22) Chhattisgarh 22",251,50,57.7689243027888,40,-17.7689243027888
7,"(27) Maharashtra 27",1039,36,46.102021174206,52.7777777777778,6.67575660357181
7,"(29) Karnataka 29",521,124,46.0652591170825,50,3.93474088291747
8,"(02) Himachal Pradesh 02",731,24,75.1025991792066,91.6666666666667,16.5640674874601
8,"(21) Orissa 21",1038,141,37.2832369942197,52.4822695035461,15.1990325093264
8,"(29) Karnataka 29",339,27,46.0176991150442,59.2592592592593,13.241560144215
9,"(08) Rajasthan 08",139,22,38.8489208633094,54.5454545454545,15.6965336821452
9,"(18) Assam 18",477,297,34.5911949685535,44.7811447811448,10.1899498125913
9,"(19) West Bengal 19",1814,33,38.4785005512679,30.3030303030303,-8.17547024823761
9,"(22) Chhattisgarh 22",669,131,60.9865470852018,58.7786259541985,-2.20792113100332
10,"(07) Delhi 07",2503,50,31.4422692768678,32,0.557730723132241
10,"(08) Rajasthan 08",314,63,42.6751592356688,53.968253968254,11.2930947325852
10,"(19) West Bengal 19",810,35,41.1111111111111,54.2857142857143,13.1746031746032
10,"(22) Chhattisgarh 22",1254,81,52.8708133971292,59.2592592592593,6.38844586213006
10,"(23) Madhya Pradesh 23",412,43,56.5533980582524,44.1860465116279,-12.3673515466245
10,"(28) Andhra Pradesh 28",322,74,51.2422360248447,50,-1.24223602484472
10,"(29) Karnataka 29",393,82,46.3104325699746,54.8780487804878,8.56761621051326
11,"(22) Chhattisgarh 22",487,70,41.4784394250513,58.5714285714286,17.0929891463772
11,"(27) Maharashtra 27",152,21,58.5526315789474,47.6190476190476,-10.9335839598998
11,"(29) Karnataka 29",374,43,58.0213903743316,48.8372093023256,-9.18418107200598
12,"(01) Jammu & Kashmir 01",394,47,66.243654822335,82.9787234042553,16.7350685819203
12,"(05) Uttarakhand 05",227,32,44.0528634361233,68.75,24.6971365638767
12,"(08) Rajasthan 08",631,22,31.6957210776545,18.1818181818182,-13.5139028958363
12,"(20) Jharkhand 20",1199,98,35.9466221851543,50,14.0533778148457
12,"(22) Chhattisgarh 22",64,27,60.9375,81.4814814814815,20.5439814814815
12,"(23) Madhya Pradesh 23",782,191,50.5115089514066,57.5916230366492,7.08011408524257
12,"(24) Gujarat 24",948,72,47.6793248945148,61.1111111111111,13.4317862165963
12,"(29) Karnataka 29",990,266,49.2929292929293,40.6015037593985,-8.6914255335308
13,"(22) Chhattisgarh 22",262,34,59.5419847328244,58.8235294117647,-0.718455321059714
13,"(23) Madhya Pradesh 23",588,69,61.2244897959184,43.4782608695652,-17.7462289263531
13,"(27) Maharashtra 27",496,157,59.4758064516129,64.968152866242,5.49234641462914
13,"(29) Karnataka 29",488,102,54.9180327868852,53.921568627451,-0.996464159434268
14,"(10) Bihar 10",822,32,37.3479318734793,18.75,-18.5979318734793
14,"(20) Jharkhand 20",714,386,42.8571428571429,62.4352331606218,19.5780903034789
14,"(22) Chhattisgarh 22",74,123,63.5135135135135,75.609756097561,12.0962425840475
14,"(27) Maharashtra 27",394,86,52.2842639593909,63.953488372093,11.6692244127022
14,"(29) Karnataka 29",173,58,63.5838150289017,65.5172413793103,1.93342635040861
15,"(08) Rajasthan 08",1410,31,45.7446808510638,48.3870967741936,2.64241592312973
15,"(21) Orissa 21",613,43,39.1517128874388,51.1627906976744,12.0110778102356
15,"(22) Chhattisgarh 22",140,223,70,73.9910313901345,3.99103139013454
15,"(23) Madhya Pradesh 23",72,46,54.1666666666667,63.0434782608696,8.87681159420291
15,"(29) Karnataka 29",715,66,51.3286713286713,59.0909090909091,7.76223776223777
16,"(23) Madhya Pradesh 23",246,201,39.4308943089431,61.6915422885572,22.2606479796141
16,"(28) Andhra Pradesh 28",604,21,44.5364238410596,57.1428571428571,12.6064333017975
17,"(18) Assam 18",822,58,38.3211678832117,48.2758620689655,9.95469418575384
17,"(20) Jharkhand 20",120,322,52.5,49.0683229813665,-3.43167701863354
17,"(21) Orissa 21",355,20,32.9577464788732,55,22.0422535211268
17,"(23) Madhya Pradesh 23",247,121,56.6801619433198,62.8099173553719,6.12975541205206
17,"(29) Karnataka 29",716,45,54.608938547486,51.1111111111111,-3.49782743637493
18,"(20) Jharkhand 20",307,50,22.8013029315961,26,3.19869706840391
18,"(29) Karnataka 29",838,122,50.7159904534606,55.7377049180328,5.02171446457216
